Reference;R;G;B;Opacity;cms;isMoT
0.819333332514;0.2699142936051696;0.47731197782825824;0.8013292525236386;1;false;false
0.819666665847;0.26979468047750577;0.47654725425377903;0.8010191791708803;1;false;false
0.81999999918;0.2696743148632555;0.475782588847208;0.8007090816996416;1;false;false
0.820333332513;0.2695531969526501;0.4750179812674646;0.8003989601154635;1;false;false
0.820666665846;0.2694313269293428;0.4742534311710454;0.8000888144239112;1;false;false
0.820999999179;0.26930870497039894;0.4734889382120054;0.7997786446305737;1;false;false
0.821333332512;0.2691853312462937;0.47272450204193833;0.7994684507410645;1;false;false
0.821666665845;0.2690612059209016;0.47196012230995904;0.7991582327610214;1;false;false
0.821999999178;0.26893632915149407;0.47119579866268263;0.7988479906961056;1;false;false
0.822333332511;0.2688107010887304;0.47043153074420624;0.798537724552004;1;false;false
0.822666665844;0.26868432187664826;0.4696673181960885;0.7982274343344268;1;false;false
0.822999999177;0.2685571916526593;0.46890316065733034;0.797917120049109;1;false;false
0.82333333251;0.2684293105475419;0.468139057764355;0.7976067817018107;1;false;false
0.823666665843;0.2683006786854298;0.4673750091509868;0.7972964192983159;1;false;false
0.823999999176;0.2681712961838049;0.4666110144484324;0.7969860328444337;1;false;false
0.824333332509;0.2680411631534889;0.4658470732852586;0.7966756223459978;1;false;false
0.824666665842;0.2679102796986336;0.4650831852873732;0.796365187808867;1;false;false
0.824999999175;0.26777864591671213;0.4643193500780027;0.7960547292389246;1;false;false
0.825333332508;0.2676462618985094;0.4635555672776715;0.7957442466420795;1;false;false
0.825666665841;0.26751312772810915;0.46279183650418115;0.7954337400242649;1;false;false
0.825999999174;0.26737924348288794;0.4620281573725877;0.7951232093914399;1;false;false
0.826333332507;0.2672446092335013;0.461264529495181;0.7948126547495883;1;false;false
0.82666666584;0.2671092250438728;0.46050095248146233;0.7945020761047192;1;false;false
0.826999999173;0.26697309097118466;0.45973742593812134;0.7941914734628671;1;false;false
0.827333332506;0.2668362070658658;0.4589739494690153;0.793880846830092;1;false;false
0.827666665839;0.2666985733715745;0.45821052267514634;0.7935701962124794;1;false;false
0.827999999172;0.26656018992519653;0.4574471451546354;0.79325952161614;1;false;false
0.828333332505;0.2664210567568214;0.45668381650270445;0.7929488230472108;1;false;false
0.828666665838;0.2662811738897379;0.455920536311649;0.792638100511854;1;false;false
0.828999999171;0.2661405413404133;0.4551573041708173;0.7923273540162572;1;false;false
0.829333332504;0.2659991591184881;0.45439411966658433;0.792016583566635;1;false;false
0.829666665837;0.26585702722675475;0.4536309823823292;0.791705789169227;1;false;false
0.82999999917;0.26571414566114576;0.4528678918984114;0.7913949708302989;1;false;false
0.830333332503;0.26557051441072005;0.45210484779214527;0.7910841285561431;1;false;false
0.830666665836;0.265426133457649;0.45134184963777585;0.7907732623530771;1;false;false
0.830999999169;0.26528100277719596;0.4505788970064542;0.7904623722274455;1;false;false
0.831333332502;0.26513512233770736;0.4498159894662121;0.7901514581856186;1;false;false
0.831666665835;0.2649884921005887;0.4490531265819366;0.7898405202339935;1;false;false
0.831999999168;0.2648411120202973;0.4482903079153446;0.7895295583789941;1;false;false
0.832333332501;0.26469298204431885;0.44752753302495657;0.7892185726270696;1;false;false
